temperature,wavenumber,cia_coefficient,uncertainty
165,5,3.08652855775235370322e-09,3.70383426930282438182e-10
165,10,1.22210963783960971214e-08,1.46653156540753156358e-09
165,15,2.71136985234909850604e-08,3.25364382281891820725e-09
165,20,4.72855531467397930509e-08,5.67426637760877480214e-09
165,25,7.21000709133088611108e-08,8.65200850959706333329e-09
165,30,1.00810483131214117904e-07,1.2097257975745693222e-08
165,35,1.32606904302235239008e-07,1.59128285162682288133e-08
165,40,1.66658340080965786684e-07,1.99990008097158942698e-08
165,45,2.02151483169371569799e-07,2.42581779803245877141e-08
165,50,2.38319850346614396417e-07,2.85983820415937266436e-08
165,55,2.74459419903793360256e-07,3.29351303884552042895e-08
165,60,3.09945901202431609694e-07,3.71935081442917886634e-08
165,65,3.44242239180878949061e-07,4.13090687017054709756e-08
165,70,3.76894774755074750903e-07,4.52273729706089709024e-08
165,75,4.07534690247296632242e-07,4.89041628296755921633e-08
165,80,4.35877118147545076626e-07,5.23052541777054070776e-08
165,85,4.61714721653663950476e-07,5.54057665984396743219e-08
165,90,4.84906895390573170542e-07,5.81888274468687751711e-08
165,95,5.0537019674896839725e-07,6.06444236098762119052e-08
165,100,5.23075351110910672541e-07,6.27690421333092791167e-08
165,105,5.38042056772614180299e-07,6.45650468127137042828e-08
165,110,5.50326762669905585035e-07,6.60392115203886649103e-08
165,115.000000000000014211,5.60013002490062644989e-07,6.72015602988075089284e-08
165,120,5.67208497617779836021e-07,6.80650197141335808519e-08
165,124.999999999999985789,5.72042118425359073959e-07,6.86450542110430904633e-08
165,130,5.74657303864748107912e-07,6.89588764637697713613e-08
165,135,5.75205691959385316317e-07,6.90246830351262305465e-08
165,140,5.73843533967246364442e-07,6.88612240760695563214e-08
165,145,5.70729583037028838076e-07,6.84875499644434558046e-08
165,150,5.66022829043474893078e-07,6.79227394852169855812e-08
165,155,5.59879957134724783318e-07,6.71855948561669665866e-08
165,160,5.52453183154905073604e-07,6.62943819785886024797e-08
165,165,5.43889012514038511991e-07,6.52666815016846235565e-08
165,170,5.34327759408227123167e-07,6.4119331128987252133e-08
165,175,5.23902964550400134412e-07,6.28683557460480198353e-08
165,180,5.12740226497452917539e-07,6.15288271796943495752e-08
165,185,5.0095615494616124492e-07,6.01147385935393409201e-08
165,190,4.88658461431741228398e-07,5.86390153718089450255e-08
165,195,4.75947033600780889215e-07,5.71136440320937045882e-08
165,200,4.62914721288523595421e-07,5.55497665546228298623e-08
165,205,4.49646996022066758362e-07,5.39576395226480083565e-08
165,210,4.36221069267592462765e-07,5.2346528312111094473e-08
165,214.999999999999971578,4.22705708946619404583e-07,5.07246850735943266971e-08
165,220,4.09162210144905170941e-07,4.90994652173886181307e-08
165,225,3.95645790996109264173e-07,4.74774949195331119655e-08
165,230.000000000000028422,3.82206395024763092481e-07,4.58647674029715663332e-08
165,235,3.68888618348719314552e-07,4.42666342018463145699e-08
165,240,3.55731329756479486997e-07,4.26877595707775363221e-08
165,245.000000000000028422,3.4276770407844634256e-07,4.1132124489413559519e-08
165,249.999999999999971578,3.30025876644886966225e-07,3.96031051973864346235e-08
165,255,3.17529860383150834144e-07,3.81035832459781008914e-08
165,260,3.0530023566899024109e-07,3.66360282802788284014e-08
165,265,2.93354414337789526869e-07,3.52025297205347437536e-08
165,270,2.81706643964940249085e-07,3.38047972757928312136e-08
165,275,2.703680547349612637e-07,3.24441665681953482029e-08
165,280,2.59346922958913460661e-07,3.11216307550696142205e-08
165,285,2.48649104527561737924e-07,2.98378925433074043157e-08
165,290,2.38278465875321045789e-07,2.85934159050385244359e-08
165,295,2.28237173406107272883e-07,2.73884608087328714225e-08
165,300,2.18525828382654802453e-07,2.62230994059185744414e-08
165,305,2.09143539273611075934e-07,2.50972247128333268622e-08
165,310,2.00088036944560436246e-07,2.4010564433347252879e-08
165,315,1.9135587127849108396e-07,2.29627045534189288841e-08
165,320,1.82942647408300018783e-07,2.19531176889960006658e-08
165,325,1.74843227569279172899e-07,2.0981187308313498895e-08
165,330,1.67051854327741934546e-07,2.00462225193290298956e-08
165,335,1.59562208245411011138e-07,1.91474649894493198807e-08
165,340,1.52367450153643724818e-07,1.82840940184372473752e-08
165,345,1.45460291792225419336e-07,1.74552350150670504527e-08
165,350,1.38833101923717492498e-07,1.66599722308460971145e-08
165,355,1.3247802102867823296e-07,1.5897362523441386764e-08
165,360,1.26387050883612940044e-07,1.51664461060335512171e-08
165,365,1.20552105366672797456e-07,1.44662526440007358932e-08
165,370,1.14965035262788430244e-07,1.37958042315346118278e-08
165,375,1.09617651477658502502e-07,1.31541181773190197708e-08
165,380,1.04501762290903409093e-07,1.25402114749084088927e-08
165,385,9.96092219122250197743e-08,1.19531066294670011818e-08
165,390,9.4931975397707149398e-08,1.13918370477248568028e-08
165,395,9.04620870709591173694e-08,1.08554504485150940843e-08
165,400,8.61917519218107150459e-08,1.03430102306172850114e-08
