temperature,wavenumber,cia_coefficient,uncertainty
165,5,7.49993409254362835173e-09,1.27498879573241701005e-09
165,10,2.97285684351063251777e-08,5.05385663396807580961e-09
165,15,6.52748099364960931814e-08,1.10967176892043361717e-08
165,20,1.11237478155276113435e-07,1.89103712863969415338e-08
165,25,1.63948661727267248768e-07,2.78712724936354352022e-08
165,30,2.19656803536701191195e-07,3.73416566012392067383e-08
165,35,2.74984327461563093438e-07,4.67473356684657287962e-08
165,40,3.27193704285892409719e-07,5.56229297286017154756e-08
165,45,3.74258188255073128375e-07,6.36238920033624360589e-08
165,50,4.14847407497257629751e-07,7.05240592745337997047e-08
165,55,4.48218371595559340253e-07,7.6197123171245087843e-08
165,60,4.74149444880176117742e-07,8.06054056296299500747e-08
165,65,4.92763306008972145132e-07,8.37697620215252763192e-08
165,70,5.04477263047842431889e-07,8.57611347181332261267e-08
165,75,5.09880434873175397965e-07,8.66796739284398255949e-08
165,80,5.09665714445748336321e-07,8.66431714557772208803e-08
165,85,5.04576577120198905131e-07,8.57780181104338144017e-08
165,90,4.95363404213114730151e-07,8.42117787162295157724e-08
165,95,4.82743191630108261037e-07,8.20663425771184059646e-08
165,100,4.67395872844008216531e-07,7.94572983834813989279e-08
165,105,4.49936740556316255234e-07,7.64892458945737628604e-08
165,110,4.30913019756598552965e-07,7.3255213358621754004e-08
165,115.000000000000014211,4.10811986965218145856e-07,6.98380377840870916776e-08
165,120,3.9004899272243188439e-07,6.63083287628134266991e-08
165,124.999999999999985789,3.6897507960071846835e-07,6.27257635321221406782e-08
165,130,3.47890361576555911224e-07,5.91413614680145083492e-08
165,135,3.2703178010611563495e-07,5.55954026180396595297e-08
165,140,3.06596580078648690866e-07,5.2121418613370281153e-08
165,145,2.86739368728606328527e-07,4.87456926838630808788e-08
165,150,2.67574453634843477844e-07,4.54876571179233941452e-08
165,155,2.49190473053510716031e-07,4.23623804190968222546e-08
165,160,2.31646352091180438087e-07,3.93798798555006797687e-08
165,165,2.1497968796632248931e-07,3.6546546954274826359e-08
165,170,1.99211860996414346813e-07,3.38660163693904384288e-08
165,175,1.84346643609296903087e-07,3.13389294135804735248e-08
165,180,1.70376757508142539012e-07,2.89640487763842345437e-08
165,185,1.5728666267016898936e-07,2.67387326539287311029e-08
165,190,1.45051770963581749529e-07,2.46588010638088998022e-08
165,195,1.33641799319317377552e-07,2.27191058842839543162e-08
165,200,1.23023735508300575865e-07,2.09140350364111000146e-08
165,205,1.13161626652595552517e-07,1.92374765309412468395e-08
165,210,1.0401647492694868804e-07,1.7682800737581278158e-08
165,214.999999999999971578,9.55486158953142459669e-08,1.62432647022034224761e-08
165,220,8.77194213459521029987e-08,1.49123016288118571127e-08
165,225,8.04901054737213986995e-08,1.36833179305326389039e-08
165,230.000000000000028422,7.38216186875453269069e-08,1.25496751768827062359e-08
165,235,6.76765689338132584703e-08,1.15050167187482551973e-08
165,240,6.20196613897156999213e-08,1.05433424362516689204e-08
165,245.000000000000028422,5.68166955943894463861e-08,9.65883825104620601799e-09
165,249.999999999999971578,5.20344824887904300534e-08,8.84586202309437410169e-09
165,255,4.76418028201696418985e-08,8.09910647942883985067e-09
165,260,4.360976560464959162e-08,7.41366015279043120407e-09
165,265,3.99110296543900654188e-08,6.78487504124631145206e-09
165,270,3.65194457474861252835e-08,6.20830577707264199303e-09
165,275,3.34107282100699478021e-08,5.67982379571189188736e-09
165,280,3.05626338059286345732e-08,5.19564774700786857228e-09
165,285,2.79543416433380963851e-08,4.75223807936747674943e-09
165,290,2.55663171114135594564e-08,4.34627390894030550463e-09
165,295,2.33805980219697254506e-08,3.97470166373485352513e-09
165,300,2.13806292608832018689e-08,3.63470697435014459895e-09
165,305,1.95509614609678947493e-08,3.32366344836454227282e-09
165,310,1.78773123054739773837e-08,3.03914309193057650264e-09
165,315,1.63466093475269362143e-08,2.77892358907957940459e-09
165,320,1.49468099962388432598e-08,2.54095769936060342035e-09
