temperature,wavenumber,cia_coefficient,uncertainty
77,5,2.70440118902e-11,1.16289251128e-11
77,10,1.02736708537e-10,4.4176784671e-11
77,15,2.17144066813e-10,9.33719487298e-11
77,20,3.58758183027e-10,1.54266018702e-10
77,25,5.16007955285e-10,2.21883420772e-10
77,30,6.78326190306e-10,2.91680261831e-10
77,35,8.36755528342e-10,3.59804877187e-10
77,40,9.84233244803e-10,4.23220295265e-10
77,45,1.11555884915e-09,4.79690305136e-10
77,50,1.22730042107e-09,5.27739181061e-10
77,55,1.31754045701e-09,5.66542396513e-10
77,60,1.385631945e-09,5.95821736351e-10
77,65,1.43190955507e-09,6.15721108682e-10
77,70,1.45746643073e-09,6.26710565215e-10
77,75,1.46393787599e-09,6.29493286676e-10
77,80,1.45328195245e-09,6.24911239553e-10
77,85,1.42764977494e-09,6.13889403224e-10
77,90,1.38927057977e-09,5.97386349302e-10
77,95,1.34034162158e-09,5.76346897277e-10
77,100,1.28296496811e-09,5.51674936287e-10
77,105,1.21910490522e-09,5.24215109246e-10
77,110,1.15055416762e-09,4.94738292078e-10
77,115,1.07891898404e-09,4.63935163135e-10
77,120,1.00561272968e-09,4.32413473762e-10
77,125,9.31853971398e-10,4.00697207701e-10
77,130,8.5867590545e-10,3.69230639343e-10
77,135,7.86941415908e-10,3.38384808841e-10
77,140,7.17354515069e-10,3.0846244148e-10
77,145,6.50471777632e-10,2.79702864382e-10
77,150,5.86719181912e-10,2.52289248222e-10
77,155,5.26410460431e-10,2.26356497985e-10
77,160,4.69761706591e-10,2.01997533834e-10
77,165,4.16903400435e-10,1.79268462187e-10
77,170,3.6789302621e-10,1.5819400127e-10
77,175,3.227280397e-10,1.38773057071e-10
77,180,2.81357153462e-10,1.20983575989e-10
77,185,2.43689475055e-10,1.04786474274e-10
77,190,2.0960244096e-10,9.01290496129e-11
77,195,1.78949107787e-10,7.69481163484e-11
77,200,1.51564613058e-10,6.51727836149e-11
77,205,1.27271605873e-10,5.47267905256e-11
77,210,1.0588476282e-10,4.55304480126e-11
77,215,8.72145758074e-11,3.75022675972e-11
77,220,7.10704977902e-11,3.05603140498e-11
77,225,5.72635026754e-11,2.46233061504e-11
77,230,4.56081467757e-11,1.96115031136e-11
77,235,3.59242104547e-11,1.54474104955e-11
77,240,2.80379641982e-11,1.20563246052e-11
77,245,2.17831001656e-11,9.3667330712e-12
77,250,1.70013877994e-11,7.31059675376e-12
77,255,1.35431102754e-11,5.82353741842e-12
77,260,1.12673194518e-11,4.84494736428e-12
77,265,1.00419372111e-11,4.31803300079e-12
77,270,9.74373276488e-12,4.1898050889e-12
77,275,1.02582011545e-11,4.41102649642e-12
77,280,1.14793569467e-11,4.93612348709e-12
77,285,1.3309455776e-11,5.72306598366e-12
77,290,1.56586680212e-11,6.73322724911e-12
77,295,1.8444733596e-11,7.93123544629e-12
77,300,2.15926100332e-11,9.28482231426e-12
77,305,2.50341024195e-11,1.07646640404e-11
77,310,2.87074611492e-11,1.23442082942e-11
77,315,3.25569574448e-11,1.39994917013e-11
77,320,3.65324710877e-11,1.57089625677e-11
77,325,4.05891206964e-11,1.74533218995e-11
77,330,4.46869344994e-11,1.92153818347e-11
77,335,4.87905289809e-11,2.09799274618e-11
77,340,5.28687633083e-11,2.27335682226e-11
77,345,5.68943688619e-11,2.44645786106e-11
77,350,6.08435869481e-11,2.61627423877e-11
77,355,6.46958543691e-11,2.78192173787e-11
77,360,6.84335511586e-11,2.94264269982e-11
77,365,7.20417893049e-11,3.09779694011e-11
77,370,7.55082037529e-11,3.24685276137e-11
77,375,7.88227190067e-11,3.38937691729e-11
77,380,8.19772947231e-11,3.52502367309e-11
