temperature,wavenumber,cia_coefficient,uncertainty
296,9120,5.17886266570294E-8,2.77133723915204E-10
296,9120.01,5.17917261451791E-8,2.77711472779022E-10
296,9120.02,5.17948256333288E-8,2.7828922164284E-10
296,9120.03,5.17979251214785E-8,2.78866970506658E-10
296,9120.04,5.18010639020349E-8,2.79430455086665E-10
296,9120.05,5.18042418617805E-8,2.79979831037104E-10
296,9120.06,5.18074588874979E-8,2.80515253980663E-10
296,9120.07,5.18107148659697E-8,2.81036879509989E-10
296,9120.08,5.18140096839783E-8,2.81544863189176E-10
296,9120.09,5.18173432283063E-8,2.82039360555261E-10
296,9120.1,5.18207153857362E-8,2.825205271197E-10
296,9120.11,5.18241260430507E-8,2.82988518369851E-10
296,9120.12,5.18275750870322E-8,2.83443489770439E-10
296,9120.13,5.18310624044632E-8,2.83885596765017E-10
296,9120.14,5.18345878821264E-8,2.84314994777424E-10
296,9120.15,5.18381514068042E-8,2.84731839213232E-10
296,9120.16,5.18417528652793E-8,2.85136285461187E-10
296,9120.17,5.1845392144334E-8,2.85528488894644E-10
296,9120.18,5.18490691307511E-8,2.85908604872994E-10
296,9120.19,5.18527837113129E-8,2.86276788743086E-10
296,9120.2,5.18565357728022E-8,2.86633195840639E-10
296,9120.21,5.18603252020013E-8,2.8697798149165E-10
296,9120.22,5.18641518856929E-8,2.87311301013794E-10
296,9120.23,5.18680157106595E-8,2.87633309717818E-10
296,9120.24,5.18719165636836E-8,2.87944162908925E-10
296,9120.25,5.18758543315478E-8,2.88244015888153E-10
296,9120.26,5.18798289010346E-8,2.88533023953753E-10
296,9120.27,5.18838401589266E-8,2.88811342402547E-10
296,9120.28,5.18878879920062E-8,2.89079126531291E-10
296,9120.29,5.18919722870561E-8,2.89336531638028E-10
296,9120.3,5.18960929308588E-8,2.89583713023428E-10
296,9120.31,5.19002498101968E-8,2.89820825992131E-10
296,9120.32,5.19044428118526E-8,2.90048025854074E-10
296,9120.33,5.19086718226089E-8,2.9026546792582E-10
296,9120.34,5.19129367292481E-8,2.90473307531869E-10
296,9120.35,5.19172374185528E-8,2.90671700005975E-10
296,9120.36,5.19215737773056E-8,2.90860800692444E-10
296,9120.37,5.19259456922889E-8,2.91040764947436E-10
296,9120.38,5.19303530502853E-8,2.91211748140248E-10
296,9120.39,5.19347957380774E-8,2.91373905654605E-10
296,9120.4,5.19392736424477E-8,2.91527392889928E-10
296,9120.41,5.19437866501787E-8,2.91672365262608E-10
296,9120.42,5.1948334648053E-8,2.91808978207267E-10
296,9120.43,5.19529175228531E-8,2.91937387178015E-10
296,9120.44,5.19575351613616E-8,2.92057747649694E-10
296,9120.45,5.1962187450361E-8,2.92170215119123E-10
296,9120.46,5.19668742766339E-8,2.92274945106332E-10
296,9120.47,5.19715955269627E-8,2.9237209315579E-10
296,9120.48,5.197635108813E-8,2.92461814837623E-10
296,9120.49,5.19811408469185E-8,2.92544265748834E-10
296,9120.5,5.19859646901105E-8,2.92619601514503E-10
296,9120.51,5.19908225044887E-8,2.92687977788992E-10
296,9120.52,5.19957141768356E-8,2.92749550257137E-10
296,9120.53,5.20006395939338E-8,2.92804474635433E-10
296,9120.54,5.20055986425657E-8,2.92852906673216E-10
296,9120.55,5.20105912095139E-8,2.92895002153833E-10
296,9120.56,5.2015617181561E-8,2.9293091689581E-10
296,9120.57,5.20206764454895E-8,2.92960806754008E-10
296,9120.58,5.2025768888082E-8,2.92984827620779E-10
296,9120.59,5.20308943961209E-8,2.93003135427106E-10
296,9120.6,5.20360528563889E-8,2.93015886143747E-10
296,9120.61,5.20412441556685E-8,2.9302323578236E-10
296,9120.62,5.20464681807421E-8,2.93025340396632E-10
296,9120.63,5.20517248183924E-8,2.93022356083395E-10
296,9120.64,5.2057013955402E-8,2.93014438983736E-10
296,9120.65,5.20623354785532E-8,2.93001745284101E-10
296,9120.66,5.20676892746287E-8,2.92984431217392E-10
296,9120.67,5.20730752304111E-8,2.92962653064057E-10
296,9120.68,5.20784932326828E-8,2.92936567153174E-10
296,9120.69,5.20839431682264E-8,2.92906329863523E-10
296,9120.7,5.20894249238245E-8,2.9287209762466E-10
296,9120.71,5.20949383862596E-8,2.92834026917978E-10
296,9120.72,5.21004834423142E-8,2.92792274277762E-10
296,9120.73,5.21060599787708E-8,2.92746996292235E-10
296,9120.74,5.21116678824121E-8,2.92698349604605E-10
296,9120.75,5.21173070400205E-8,2.92646490914095E-10
296,9120.76,5.21229773383786E-8,2.92591576976974E-10
296,9120.77,5.2128678664269E-8,2.92533764607577E-10
296,9120.78,5.21344109044741E-8,2.92473210679316E-10
296,9120.79,5.21401739457766E-8,2.92410072125695E-10
296,9120.8,5.21459676749589E-8,2.923445059413E-10
296,9120.81,5.21517919788037E-8,2.92276669182802E-10
296,9120.82,5.21576467440933E-8,2.92206718969936E-10
296,9120.83,5.21635318576105E-8,2.92134812486487E-10
296,9120.84,5.21694472061377E-8,2.92061106981257E-10
296,9120.85,5.21753926764575E-8,2.91985759769035E-10
296,9120.86,5.21813681553524E-8,2.91908928231555E-10
296,9120.87,5.21873735296049E-8,2.91830769818444E-10
296,9120.88,5.21934086859976E-8,2.91751442048176E-10
296,9120.89,5.21994735113131E-8,2.91671102509002E-10
296,9120.9,5.22055678923338E-8,2.91589908859883E-10
296,9120.91,5.22116917158424E-8,2.91508018831419E-10
296,9120.92,5.22178448686213E-8,2.91425590226761E-10
296,9120.93,5.22240272374532E-8,2.91342780922526E-10
296,9120.94,5.22302387091205E-8,2.91259748869699E-10
296,9120.95,5.22364791704057E-8,2.91176652094528E-10
296,9120.96,5.22427485080915E-8,2.91093648699417E-10
296,9120.97,5.22490466089604E-8,2.91010896863809E-10
296,9120.98,5.22553733597949E-8,2.90928554845061E-10
