temperature,wavenumber,self_continuum_cross_section,uncertainty
293,2010,1.76E-22,3.5E-23
293,2020,1.65E-22,3.5E-23
293,2030,1.40E-22,3.0E-23
293,2040,1.32E-22,3.4E-23
293,2050,1.16E-22,3.3E-23
293,2060,1.06E-22,3.3E-23
293,2070,9.73E-23,3.2E-23
293,2080,9.15E-23,3.2E-23
293,2090,8.66E-23,3.2E-23
293,2100,8.39E-23,3.1E-23
293,2110,7.66E-23,2.9E-23
293,2120,7.07E-23,3.1E-23
293,2130,6.75E-23,3.1E-23
293,2140,6.65E-23,3.1E-23
293,2150,6.21E-23,3.0E-23
293,2160,5.91E-23,3.1E-23
293,2170,5.64E-23,3.0E-23
293,2180,5.42E-23,3.0E-23
293,2190,5.14E-23,3.0E-23
293,2200,5.20E-23,3.0E-23
293,2210,5.21E-23,3.0E-23
293,2220,4.83E-23,3.0E-23
293,2230,4.67E-23,3.0E-23
293,2240,4.69E-23,3.0E-23
293,2250,4.77E-23,3.0E-23
293,2260,4.80E-23,3.0E-23
293,2270,4.57E-23,3.0E-23
293,2280,4.69E-23,3.0E-23
293,2290,4.49E-23,2.9E-23
293,2300,4.43E-23,3.0E-23
293,2310,4.52E-23,3.0E-23
293,2320,4.61E-23,3.0E-23
293,2330,4.71E-23,3.1E-23
293,2340,4.62E-23,3.1E-23
293,2350,4.66E-23,3.1E-23
293,2360,4.63E-23,3.1E-23
293,2370,4.24E-23,3.1E-23
293,2380,3.93E-23,3.0E-23
293,2390,3.75E-23,3.0E-23
293,2400,3.71E-23,3.0E-23
293,2410,3.68E-23,3.0E-23
293,2420,3.73E-23,3.0E-23
293,2430,3.65E-23,3.0E-23
293,2440,3.61E-23,3.0E-23
293,2450,3.60E-23,3.0E-23
293,2460,3.72E-23,3.1E-23
293,2470,3.70E-23,3.1E-23
293,2480,3.66E-23,3.1E-23
293,2490,3.59E-23,3.1E-23
293,2500,3.64E-23,3.1E-23
293,2510,3.65E-23,3.1E-23
293,2520,3.61E-23,3.1E-23
293,2530,3.66E-23,3.1E-23
293,2540,3.55E-23,3.1E-23
293,2550,3.73E-23,3.1E-23
293,2560,3.58E-23,3.1E-23
293,2570,3.60E-23,3.1E-23
293,2580,3.77E-23,3.1E-23
293,2590,3.75E-23,3.1E-23
293,2600,3.59E-23,3.1E-23
293,2610,3.83E-23,3.1E-23
293,2620,3.96E-23,3.1E-23
293,2630,3.74E-23,3.1E-23
293,2640,3.78E-23,3.1E-23
293,2650,3.54E-23,3.1E-23
293,2660,3.91E-23,3.1E-23
293,2670,3.88E-23,3.1E-23
293,2680,3.76E-23,3.1E-23
293,2690,3.96E-23,3.1E-23
293,2700,4.14E-23,3.1E-23
293,2710,4.18E-23,3.2E-23
293,2720,3.86E-23,3.2E-23
293,2730,4.19E-23,3.2E-23
293,2740,4.00E-23,3.2E-23
293,2750,3.98E-23,3.2E-23
293,2760,3.98E-23,3.2E-23
293,2770,4.10E-23,3.2E-23
293,2780,4.02E-23,3.1E-23
293,2790,4.15E-23,3.2E-23
293,2800,4.50E-23,3.2E-23
293,2810,4.69E-23,3.2E-23
293,2820,4.64E-23,3.2E-23
293,2830,4.70E-23,3.1E-23
293,2840,4.91E-23,3.2E-23
293,2850,5.02E-23,3.2E-23
293,2860,5.11E-23,3.2E-23
293,2870,5.53E-23,3.3E-23
293,2880,5.65E-23,3.3E-23
293,2890,5.64E-23,3.2E-23
293,2900,5.57E-23,3.3E-23
293,2910,5.69E-23,3.3E-23
293,2920,5.64E-23,3.3E-23
293,2930,6.15E-23,3.3E-23
293,2940,6.29E-23,3.3E-23
293,2950,6.42E-23,3.3E-23
293,2960,6.67E-23,3.3E-23
293,2970,7.28E-23,3.3E-23
293,2980,6.72E-23,3.3E-23
293,2990,6.48E-23,3.3E-23
293,3000,6.24E-23,3.3E-23
293,3010,6.74E-23,3.3E-23
293,3020,6.93E-23,3.3E-23
293,3030,8.11E-23,3.3E-23
293,3040,7.77E-23,3.3E-23
293,3050,8.62E-23,3.3E-23
293,3060,9.76E-23,3.3E-23
293,3070,8.97E-23,3.3E-23
293,3080,1.03E-22,3.3E-23
293,3090,9.60E-23,3.3E-23
293,3100,1.08E-22,3.3E-23
293,3110,1.09E-22,3.3E-23
293,3120,1.15E-22,3.3E-23
293,3130,1.04E-22,3.3E-23
293,3140,1.07E-22,3.3E-23
293,3150,1.23E-22,3.3E-23
293,3160,1.34E-22,3.3E-23
293,3170,1.75E-22,3.4E-23
293,3180,2.10E-22,3.4E-23
293,3190,2.15E-22,3.4E-23
293,3200,2.37E-22,5.0E-23
293,3210,2.12E-22,5.0E-23
293,3220,1.93E-22,4.8E-23
293,3230,1.70E-22,4.7E-23
293,3240,1.68E-22,4.7E-23
293,3250,1.60E-22,4.7E-23
293,3260,1.54E-22,4.7E-23
293,3270,1.42E-22,4.6E-23
293,3280,1.40E-22,4.7E-23
293,3290,1.48E-22,4.7E-23
293,3300,1.53E-22,4.7E-23
293,3310,1.49E-22,6.3E-23
293,3320,1.39E-22,4.7E-23
293,3330,1.46E-22,4.7E-23
293,3340,1.53E-22,5.2E-23
293,3350,1.66E-22,4.7E-23
293,3360,1.48E-22,4.7E-23
293,3370,1.80E-22,4.8E-23
293,3380,1.70E-22,4.8E-23
293,3390,2.16E-22,4.8E-23
293,3400,2.25E-22,4.8E-23
293,3410,2.47E-22,4.9E-23
293,3420,2.54E-22,5.0E-23
293,3430,2.52E-22,5.6E-23
293,3440,3.92E-22,5.8E-23
293,3450,4.38E-22,5.7E-23
293,3460,5.31E-22,5.9E-23
293,3470,5.55E-22,5.9E-23
293,3480,6.72E-22,6.3E-23
293,3490,8.12E-22,7.0E-23
293,3500,8.29E-22,7.2E-23
293,3510,1.01E-21,1.1E-22
293,3520,1.05E-21,8.1E-23
