temperature,wavenumber,cia_coefficient,uncertainty
241,3193,3.42e-46,2.53e-46
241,3194,3.27e-46,2.53e-46
241,3195,3.43e-46,2.53e-46
241,3196,3.09e-46,2.52e-46
241,3197,3.06e-46,2.52e-46
241,3198,2.99e-46,2.52e-46
241,3199,2.86e-46,2.52e-46
241,3200,3.08e-46,2.52e-46
241,3201,2.94e-46,2.52e-46
241,3202,2.78e-46,2.51e-46
241,3203,2.83e-46,2.51e-46
241,3204,2.55e-46,2.51e-46
241,3205,2.7e-46,2.51e-46
241,3206,2.55e-46,2.51e-46
241,3207,2.33e-46,2.51e-46
241,3208,2.53e-46,2.51e-46
241,3209,2.11e-46,2.5e-46
241,3210,2.28e-46,2.5e-46
241,3211,2.31e-46,2.5e-46
241,3212,2.22e-46,2.5e-46
241,3213,2.13e-46,2.5e-46
241,3214,1.76e-46,2.49e-46
241,3215,2.02e-46,2.5e-46
241,3216,1.99e-46,2.5e-46
241,3217,1.96e-46,2.49e-46
241,3218,2e-46,2.49e-46
241,3219,1.74e-46,2.49e-46
241,3220,1.82e-46,2.49e-46
241,3221,1.81e-46,2.49e-46
241,3222,1.79e-46,2.49e-46
241,3223,1.74e-46,2.49e-46
241,3224,1.65e-46,2.49e-46
241,3225,1.91e-46,2.49e-46
241,3226,1.88e-46,2.49e-46
241,3227,1.65e-46,2.48e-46
241,3228,1.61e-46,2.48e-46
241,3229,1.56e-46,2.48e-46
241,3230,1.64e-46,2.48e-46
241,3231,1.75e-46,2.49e-46
241,3232,1.71e-46,2.48e-46
241,3233,1.72e-46,2.48e-46
241,3234,1.67e-46,2.48e-46
241,3235,1.93e-46,2.49e-46
241,3236,1.75e-46,2.48e-46
241,3237,1.84e-46,2.48e-46
241,3238,1.86e-46,2.48e-46
241,3239,1.84e-46,2.48e-46
241,3240,1.83e-46,2.48e-46
241,3241,1.99e-46,2.48e-46
241,3242,1.98e-46,2.48e-46
241,3243,2.01e-46,2.48e-46
241,3244,1.96e-46,2.48e-46
241,3245,1.77e-46,2.48e-46
241,3246,1.97e-46,2.48e-46
241,3247,2.16e-46,2.48e-46
241,3248,2.21e-46,2.48e-46
241,3249,2.21e-46,2.48e-46
241,3250,2.18e-46,2.48e-46
241,3251,2.18e-46,2.48e-46
241,3252,2.32e-46,2.48e-46
241,3253,2.23e-46,2.48e-46
241,3254,2.3e-46,2.48e-46
241,3255,2.46e-46,2.48e-46
241,3256,2.38e-46,2.48e-46
241,3257,2.37e-46,2.48e-46
241,3258,2.4e-46,2.48e-46
241,3259,2.41e-46,2.48e-46
241,3260,2.42e-46,2.48e-46
241,3261,2.48e-46,2.48e-46
241,3262,2.43e-46,2.48e-46
241,3263,2.57e-46,2.48e-46
241,3264,2.8e-46,2.49e-46
241,3265,2.75e-46,2.48e-46
241,3266,2.86e-46,2.49e-46
241,3267,2.8e-46,2.48e-46
241,3268,2.86e-46,2.48e-46
241,3269,3e-46,2.49e-46
241,3270,3.01e-46,2.49e-46
241,3271,3.15e-46,2.49e-46
241,3272,3.13e-46,2.49e-46
241,3273,3.02e-46,2.49e-46
241,3274,3.06e-46,2.49e-46
241,3275,3.03e-46,2.49e-46
241,3276,2.94e-46,2.48e-46
241,3277,3.57e-46,2.49e-46
241,3278,3.39e-46,2.49e-46
241,3279,3.34e-46,2.49e-46
241,3280,3.32e-46,2.49e-46
241,3281,3.36e-46,2.49e-46
241,3282,3.67e-46,2.49e-46
241,3283,3.56e-46,2.49e-46
241,3284,3.64e-46,2.49e-46
241,3906,3.663e-45,3.76e-46
241,3907,3.605e-45,3.76e-46
241,3908,3.594e-45,3.76e-46
241,3909,3.597e-45,3.76e-46
241,3910,3.615e-45,3.77e-46
241,3911,3.658e-45,3.78e-46
241,3912,3.686e-45,3.8e-46
241,3913,3.716e-45,3.81e-46
241,3914,3.776e-45,3.83e-46
241,3915,3.867e-45,3.86e-46
241,3916,3.985e-45,3.9e-46
241,3917,4.072e-45,3.92e-46
241,3918,4.079e-45,3.93e-46
241,3919,4.094e-45,3.95e-46
241,3920,4.081e-45,3.95e-46
241,3921,4.18e-45,3.98e-46
241,3922,4.199e-45,3.98e-46
241,3923,4.239e-45,4e-46
241,3924,4.339e-45,4.04e-46
241,3925,4.333e-45,4.04e-46
241,3926,4.35e-45,4.05e-46
241,3927,4.41e-45,4.07e-46
241,3928,4.446e-45,4.09e-46
241,3929,4.453e-45,4.1e-46
241,3930,4.543e-45,4.13e-46
241,3931,4.648e-45,4.17e-46
241,3932,4.715e-45,4.19e-46
241,3933,4.767e-45,4.21e-46
241,3934,4.753e-45,4.22e-46
241,3935,4.792e-45,4.23e-46
241,3936,4.856e-45,4.26e-46
241,3937,4.903e-45,4.28e-46
241,3938,4.944e-45,4.3e-46
241,3939,5.042e-45,4.33e-46
241,3940,5.118e-45,4.35e-46
241,3941,5.199e-45,4.38e-46
241,3942,5.266e-45,4.41e-46
241,3943,5.31e-45,4.43e-46
241,3944,5.398e-45,4.46e-46
241,3945,5.445e-45,4.48e-46
241,3946,5.501e-45,4.51e-46
241,3947,5.568e-45,4.54e-46
241,3948,5.648e-45,4.57e-46
241,3949,5.726e-45,4.6e-46
241,3950,5.753e-45,4.61e-46
241,3951,5.847e-45,4.64e-46
241,3952,5.946e-45,4.68e-46
241,3953,5.953e-45,4.7e-46
241,3954,6.032e-45,4.72e-46
241,3955,6.131e-45,4.76e-46
241,3956,6.18e-45,4.79e-46
241,3957,6.266e-45,4.82e-46
241,3958,6.384e-45,4.86e-46
241,3959,6.478e-45,4.9e-46
241,3960,6.551e-45,4.92e-46
241,3961,6.665e-45,4.96e-46
241,3962,6.719e-45,4.99e-46
241,3963,6.806e-45,5.03e-46
241,3964,6.912e-45,5.06e-46
241,3965,7.013e-45,5.1e-46
241,3966,7.054e-45,5.13e-46
241,3967,7.147e-45,5.17e-46
241,3968,7.288e-45,5.22e-46
241,3969,7.384e-45,5.25e-46
241,3970,7.507e-45,5.3e-46
241,3971,7.623e-45,5.34e-46
241,3972,7.711e-45,5.38e-46
241,3973,7.773e-45,5.41e-46
241,3974,7.897e-45,5.45e-46
241,3975,8.038e-45,5.51e-46
241,3976,8.152e-45,5.55e-46
241,3977,8.271e-45,5.6e-46
241,3978,8.383e-45,5.64e-46
241,3979,8.5e-45,5.68e-46
241,3980,8.609e-45,5.73e-46
241,3981,8.714e-45,5.78e-46
241,3982,8.841e-45,5.82e-46
241,3983,8.974e-45,5.87e-46
241,3984,9.137e-45,5.93e-46
241,3985,9.246e-45,5.98e-46
241,3986,9.363e-45,6.03e-46
241,3987,9.507e-45,6.08e-46
241,3988,9.64e-45,6.13e-46
241,3989,9.766e-45,6.18e-46
241,3990,9.933e-45,6.25e-46
241,3991,1.0062e-44,6.3e-46
241,3992,1.0222e-44,6.36e-46
241,3993,1.0368e-44,6.42e-46
241,3994,1.0514e-44,6.48e-46
241,3995,1.0706e-44,6.54e-46
241,3996,1.0874e-44,6.6e-46
241,3997,1.1028e-44,6.67e-46
241,3998,1.1222e-44,6.73e-46
241,3999,1.1372e-44,6.79e-46
241,4000,1.1512e-44,6.85e-46
241,4001,1.1702e-44,6.93e-46
241,4002,1.1876e-44,6.99e-46
241,4003,1.2033e-44,7.06e-46
241,4004,1.2229e-44,7.13e-46
241,4005,1.2423e-44,7.21e-46
241,4006,1.2642e-44,7.28e-46
241,4007,1.2821e-44,7.35e-46
241,4008,1.3025e-44,7.43e-46
241,4009,1.3225e-44,7.51e-46
241,4010,1.3459e-44,7.59e-46
241,4011,1.3664e-44,7.66e-46
241,4012,1.3896e-44,7.74e-46
241,4013,1.409e-44,7.82e-46
241,4014,1.4293e-44,7.91e-46
241,4015,1.4511e-44,7.99e-46
241,4016,1.4769e-44,8.08e-46
241,4017,1.5018e-44,8.17e-46
241,4018,1.5278e-44,8.27e-46
241,4019,1.5525e-44,8.37e-46
241,4020,1.5816e-44,8.47e-46
241,4021,1.609e-44,8.57e-46
241,4022,1.6352e-44,8.66e-46
241,4023,1.6617e-44,8.76e-46
241,4024,1.6875e-44,8.86e-46
241,4025,1.7137e-44,8.96e-46
241,4026,1.7394e-44,9.05e-46
241,4027,1.7668e-44,9.16e-46
241,4028,1.7947e-44,9.26e-46
241,4029,1.818e-44,9.35e-46
241,4030,1.8516e-44,9.47e-46
241,4031,1.8805e-44,9.58e-46
241,4032,1.9107e-44,9.7e-46
241,4033,1.9453e-44,9.82e-46
241,4034,1.9786e-44,9.94e-46
241,4035,2.011e-44,1.01e-45
241,4036,2.043e-44,1.02e-45
241,4037,2.078e-44,1.03e-45
241,4038,2.112e-44,1.04e-45
241,4039,2.149e-44,1.06e-45
241,4040,2.187e-44,1.07e-45
241,4041,2.224e-44,1.08e-45
241,4042,2.259e-44,1.1e-45
241,4043,2.301e-44,1.11e-45
241,4044,2.339e-44,1.12e-45
241,4045,2.376e-44,1.14e-45
241,4046,2.415e-44,1.15e-45
241,4047,2.456e-44,1.17e-45
241,4048,2.499e-44,1.18e-45
241,4049,2.543e-44,1.2e-45
241,4050,2.587e-44,1.21e-45
241,4051,2.63e-44,1.23e-45
241,4052,2.676e-44,1.25e-45
241,4053,2.723e-44,1.26e-45
241,4054,2.77e-44,1.28e-45
241,4055,2.813e-44,1.29e-45
241,4056,2.864e-44,1.31e-45
241,4057,2.907e-44,1.33e-45
241,4058,2.955e-44,1.35e-45
241,4059,3.004e-44,1.36e-45
241,4060,3.064e-44,1.38e-45
241,4061,3.118e-44,1.4e-45
241,4062,3.167e-44,1.42e-45
241,4063,3.219e-44,1.44e-45
241,4064,3.275e-44,1.46e-45
241,4065,3.328e-44,1.48e-45
241,4066,3.389e-44,1.5e-45
241,4067,3.445e-44,1.52e-45
241,4068,3.499e-44,1.54e-45
241,4069,3.562e-44,1.56e-45
241,4070,3.623e-44,1.58e-45
241,4071,3.682e-44,1.6e-45
241,4072,3.743e-44,1.62e-45
241,4073,3.81e-44,1.65e-45
241,4074,3.876e-44,1.67e-45
241,4075,3.943e-44,1.69e-45
241,4076,4.005e-44,1.71e-45
241,4077,4.067e-44,1.74e-45
241,4078,4.134e-44,1.76e-45
241,4079,4.206e-44,1.78e-45
241,4080,4.275e-44,1.81e-45
241,4081,4.345e-44,1.83e-45
241,4082,4.419e-44,1.86e-45
241,4083,4.488e-44,1.88e-45
241,4084,4.565e-44,1.91e-45
241,4085,4.636e-44,1.93e-45
241,4086,4.709e-44,1.96e-45
241,4087,4.788e-44,1.98e-45
241,4088,4.865e-44,2.01e-45
241,4089,4.942e-44,2.04e-45
241,4090,5.012e-44,2.06e-45
241,4091,5.09e-44,2.09e-45
241,4092,5.172e-44,2.12e-45
241,4093,5.255e-44,2.14e-45
241,4094,5.332e-44,2.17e-45
241,4095,5.41e-44,2.2e-45
241,4096,5.493e-44,2.23e-45
241,4097,5.571e-44,2.26e-45
241,4098,5.654e-44,2.28e-45
241,4099,5.735e-44,2.31e-45
241,4100,5.813e-44,2.34e-45
241,4101,5.894e-44,2.37e-45
241,4102,5.973e-44,2.39e-45
241,4103,6.058e-44,2.42e-45
241,4104,6.144e-44,2.45e-45
241,4105,6.223e-44,2.48e-45
241,4106,6.304e-44,2.51e-45
241,4107,6.376e-44,2.53e-45
241,4108,6.461e-44,2.56e-45
241,4109,6.548e-44,2.59e-45
241,4110,6.63e-44,2.62e-45
