Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 349 K,Sistematic errors [cm^5 molecule^-2]
3193,0,8.4e-46
3194,0,8.4e-46
3195,0,8.4e-46
3196,0,8.4e-46
3197,0,8.4e-46
3198,0,8.4e-46
3199,0,8.4e-46
3200,0,8.39e-46
3201,0,8.4e-46
3202,0,8.4e-46
3203,0,8.4e-46
3204,0,8.4e-46
3205,0,8.39e-46
3206,0,8.39e-46
3207,0,8.39e-46
3208,0,8.39e-46
3209,0,8.39e-46
3210,0,8.4e-46
3211,0,8.39e-46
3212,0,8.39e-46
3213,0,8.39e-46
3214,0,8.39e-46
3215,0,8.38e-46
3216,0,8.39e-46
3217,0,8.39e-46
3218,0,8.38e-46
3219,0,8.39e-46
3220,0,8.39e-46
3221,0,8.38e-46
3222,0,8.39e-46
3223,0,8.38e-46
3224,0,8.38e-46
3225,0,8.38e-46
3226,0,8.38e-46
3227,0,8.38e-46
3228,0,8.38e-46
3229,0,8.39e-46
3230,0,8.39e-46
3231,0,8.39e-46
3232,0,8.38e-46
3233,0,8.39e-46
3234,0,8.38e-46
3235,0,8.38e-46
3236,0,8.39e-46
3237,0,8.39e-46
3238,0,8.38e-46
3239,0,8.38e-46
3240,0,8.39e-46
3241,0,8.39e-46
3242,0,8.39e-46
3243,0,8.39e-46
3244,0,8.39e-46
3245,0,8.4e-46
3246,0,8.39e-46
3247,0,8.39e-46
3248,0,8.39e-46
3249,0,8.39e-46
3250,0,8.39e-46
3251,0,8.39e-46
3252,0,8.39e-46
3253,0,8.39e-46
3254,0,8.4e-46
3255,0,8.4e-46
3256,0,8.4e-46
3257,0,8.4e-46
3258,0,8.4e-46
3259,0,8.4e-46
3260,0,8.4e-46
3261,0,8.4e-46
3262,0,8.4e-46
3263,0,8.4e-46
3264,0,8.4e-46
3265,0,8.41e-46
3266,0,8.4e-46
3267,0,8.41e-46
3268,0,8.41e-46
3269,0,8.41e-46
3270,0,8.42e-46
3271,0,8.42e-46
3272,0,8.41e-46
3273,0,8.4e-46
3274,0,8.45e-46
3275,0,8.43e-46
3276,0,8.39e-46
3277,0,8.43e-46
3278,0,8.44e-46
3279,0,8.43e-46
3280,0,8.43e-46
3281,0,8.43e-46
3282,0,8.43e-46
3283,0,8.43e-46
3284,0,8.44e-46
3949,1.094e-44,1.23e-45
3950,1.071e-44,1.22e-45
3951,9.97e-45,1.2e-45
3952,9.59e-45,1.19e-45
3953,9.61e-45,1.19e-45
3954,9.61e-45,1.19e-45
3955,9.74e-45,1.2e-45
3956,9.97e-45,1.21e-45
3957,1.024e-44,1.21e-45
3958,1.027e-44,1.22e-45
3959,1.021e-44,1.22e-45
3960,1.046e-44,1.22e-45
3961,1.104e-44,1.24e-45
3962,1.167e-44,1.26e-45
3963,1.097e-44,1.24e-45
3964,1.078e-44,1.24e-45
3965,1.087e-44,1.24e-45
3966,1.089e-44,1.24e-45
3967,1.093e-44,1.24e-45
3968,1.131e-44,1.26e-45
3969,1.173e-44,1.27e-45
3970,1.178e-44,1.27e-45
3971,1.184e-44,1.27e-45
3972,1.202e-44,1.28e-45
3973,1.219e-44,1.28e-45
3974,1.239e-44,1.29e-45
3975,1.277e-44,1.3e-45
3976,1.305e-44,1.31e-45
3977,1.277e-44,1.31e-45
3978,1.266e-44,1.3e-45
3979,1.278e-44,1.31e-45
3980,1.306e-44,1.32e-45
3981,1.319e-44,1.32e-45
3982,1.341e-44,1.33e-45
3983,1.352e-44,1.33e-45
3984,1.364e-44,1.34e-45
3985,1.384e-44,1.34e-45
3986,1.397e-44,1.35e-45
3987,1.416e-44,1.36e-45
3988,1.435e-44,1.36e-45
3989,1.471e-44,1.37e-45
3990,1.51e-44,1.39e-45
3991,1.524e-44,1.39e-45
3992,1.523e-44,1.39e-45
3993,1.539e-44,1.4e-45
3994,1.565e-44,1.41e-45
3995,1.593e-44,1.42e-45
3996,1.6e-44,1.42e-45
3997,1.614e-44,1.43e-45
3998,1.635e-44,1.43e-45
3999,1.655e-44,1.44e-45
4000,1.675e-44,1.45e-45
4001,1.705e-44,1.46e-45
4002,1.721e-44,1.46e-45
4003,1.748e-44,1.47e-45
4004,1.764e-44,1.48e-45
4005,1.786e-44,1.49e-45
4006,1.809e-44,1.5e-45
4007,1.838e-44,1.5e-45
4008,1.874e-44,1.52e-45
4009,1.901e-44,1.53e-45
4010,1.92e-44,1.53e-45
4011,1.935e-44,1.54e-45
4012,1.959e-44,1.55e-45
4013,1.983e-44,1.56e-45
4014,2.011e-44,1.57e-45
4015,2.04e-44,1.57e-45
4016,2.07e-44,1.59e-45
4017,2.099e-44,1.6e-45
4018,2.128e-44,1.61e-45
4019,2.168e-44,1.62e-45
4020,2.196e-44,1.63e-45
4021,2.231e-44,1.64e-45
4022,2.263e-44,1.65e-45
4023,2.305e-44,1.66e-45
4024,2.348e-44,1.68e-45
4025,2.393e-44,1.69e-45
4026,2.423e-44,1.7e-45
4027,2.461e-44,1.72e-45
4028,2.505e-44,1.73e-45
4029,2.455e-44,1.72e-45
4030,2.46e-44,1.72e-45
4031,2.509e-44,1.74e-45
4032,2.562e-44,1.76e-45
4033,2.594e-44,1.77e-45
4034,2.632e-44,1.78e-45
4035,2.669e-44,1.79e-45
4036,2.704e-44,1.81e-45
4037,2.743e-44,1.82e-45
4038,2.782e-44,1.83e-45
4039,2.82e-44,1.85e-45
4040,2.86e-44,1.86e-45
4041,2.897e-44,1.87e-45
4042,2.94e-44,1.89e-45
4043,2.99e-44,1.9e-45
4044,3.036e-44,1.92e-45
4045,3.081e-44,1.94e-45
4046,3.112e-44,1.94e-45
4047,3.135e-44,1.95e-45
4048,3.18e-44,1.97e-45
4049,3.227e-44,1.99e-45
4050,3.272e-44,2e-45
4051,3.318e-44,2.02e-45
4052,3.357e-44,2.03e-45
4053,3.405e-44,2.05e-45
4054,3.451e-44,2.06e-45
4055,3.493e-44,2.08e-45
4056,3.541e-44,2.09e-45
4057,3.582e-44,2.11e-45
4058,3.622e-44,2.12e-45
4059,3.673e-44,2.14e-45
4060,3.729e-44,2.16e-45
4061,3.775e-44,2.17e-45
4062,3.819e-44,2.19e-45
