database,isotope,doi,created date,version(publication_date)
MoLLIST,16O-1H,10.5281/zenodo.5716700,2021-11-21T09:12:25.985455,20180719
LaTY,31P-1H,10.5281/zenodo.5716703,2021-11-21T09:13:02.658063,20190427
MoLLIST,14N-1H,10.5281/zenodo.5716698,2021-11-21T09:12:00.346307,20180724
Coxon-Hajig,1H-19F,10.5281/zenodo.5716696,2021-11-21T09:11:56.025931,20191005
MoLLIST,13C-1H,10.5281/zenodo.5716694,2021-11-21T09:11:50.720248,20160726
MoLLIST,12C-1H,10.5281/zenodo.5716692,2021-11-21T09:11:24.784927,20190214
GYT,32S-1H,10.5281/zenodo.5716705,2021-11-21T09:13:31.049695,20190801
GYT,32S-2H,10.5281/zenodo.5716707,2021-11-21T09:13:54.993586,20190801
GYT,33S-1H,10.5281/zenodo.5716709,2021-11-21T09:13:59.740273,20190801
GYT,34S-1H,10.5281/zenodo.5716711,2021-11-21T09:14:04.536259,20190801
GYT,36S-1H,10.5281/zenodo.5716713,2021-11-21T09:14:12.470384,20190801
SiGHTLY,28Si-1H,10.5281/zenodo.5716715,2021-11-21T09:14:16.995884,20171101
SiGHTLY,28Si-2H,10.5281/zenodo.5716717,2021-11-21T09:14:41.504532,20171101
SiGHTLY,29Si-1H,10.5281/zenodo.5716719,2021-11-21T09:14:48.699051,20171101
YT34to10,12C-1H4,10.5281/zenodo.5716864,2021-11-21T10:23:26.253891,20180131
SiGHTLY,30Si-1H,10.5281/zenodo.5716721,2021-11-21T09:14:54.198681,20171101
ATP,26Al-16O,10.5281/zenodo.5716723,2021-11-21T09:14:58.766534,20210622
ATP,27Al-16O,10.5281/zenodo.5716725,2021-11-21T09:15:27.051864,20210622
ATP,27Al-17O,10.5281/zenodo.5716727,2021-11-21T09:16:12.029505,20210622
ATP,27Al-18O,10.5281/zenodo.5716729,2021-11-21T09:16:19.200731,20210622
VBATHY,40Ca-16O,10.5281/zenodo.5716731,2021-11-21T09:16:26.407927,20160726
LiTY,24Mg-16O,10.5281/zenodo.5716733,2021-11-21T09:16:52.523918,20190401
LiTY,24Mg-17O,10.5281/zenodo.5716735,2021-11-21T09:17:30.039988,20190401
LiTY,24Mg-18O,10.5281/zenodo.5716737,2021-11-21T09:17:59.979114,20190401
LiTY,25Mg-16O,10.5281/zenodo.5716740,2021-11-21T09:18:15.386652,20190401
LiTY,26Mg-16O,10.5281/zenodo.5716742,2021-11-21T09:18:36.414659,20190401
EBJT,28Si-16O,10.5281/zenodo.5716744,2021-11-21T09:18:51.571141,20160726
EBJT,28Si-17O,10.5281/zenodo.5716746,2021-11-21T09:19:35.881237,20160726
EBJT,28Si-18O,10.5281/zenodo.5716748,2021-11-21T09:19:42.452854,20160726
EBJT,29Si-16O,10.5281/zenodo.5716750,2021-11-21T09:19:48.837847,20160726
EBJT,30Si-16O,10.5281/zenodo.5716752,2021-11-21T09:19:56.875538,20160726
Toto,46Ti-16O,10.5281/zenodo.5716754,2021-11-21T09:20:05.369356,20190514
Toto,47Ti-16O,10.5281/zenodo.5716756,2021-11-21T09:21:04.430348,20190514
Toto,48Ti-16O,10.5281/zenodo.5716758,2021-11-21T09:21:22.283004,20210825
Toto,49Ti-16O,10.5281/zenodo.5716760,2021-11-21T09:22:09.830169,20190514
Toto,50Ti-16O,10.5281/zenodo.5716762,2021-11-21T09:22:27.335023,20190514
VOMYT,51V-16O,10.5281/zenodo.5716764,2021-11-21T09:22:41.245553,20160726
SSYT,89Y-16O,10.5281/zenodo.5716768,2021-11-21T09:24:18.661785,20190501
Li2015,12C-16O,10.5281/zenodo.5716770,2021-11-21T09:24:45.541364,20170101
Li2015,12C-18O,10.5281/zenodo.5716774,2021-11-21T09:25:34.788460,20190722
Li2015,13C-16O,10.5281/zenodo.5716776,2021-11-21T09:25:39.137740,20170101
Li2015,13C-17O,10.5281/zenodo.5716778,2021-11-21T09:26:01.857546,20190722
Li2015,13C-18O,10.5281/zenodo.5716780,2021-11-21T09:26:07.849882,20190722
XABC,14N-16O,10.5281/zenodo.5716782,2021-11-21T09:26:12.754674,20210422
POPS,31P-16O,10.5281/zenodo.5716784,2021-11-21T09:26:18.354168,20170910
UCL-4000,12C-16O2,10.5281/zenodo.5716786,2021-11-21T09:26:51.198736,20200630
Zak,12C-17O2,10.5281/zenodo.5716788,2021-11-21T09:32:03.065850,20180223
Zak,12C-18O2,10.5281/zenodo.5716790,2021-11-21T09:32:05.857973,20180223
Zak,13C-16O2,10.5281/zenodo.5716792,2021-11-21T09:32:08.844463,20180223
Zak,13C-17O2,10.5281/zenodo.5716794,2021-11-21T09:32:12.026192,20180223
Zak,13C-18O2,10.5281/zenodo.5716796,2021-11-21T09:32:14.794579,20180223
Zak,14C-16O2,10.5281/zenodo.5716798,2021-11-21T09:32:18.873755,20180223
Zak,16O-12C-17O,10.5281/zenodo.5716800,2021-11-21T09:32:22.426197,20200630
Zak,16O-12C-18O,10.5281/zenodo.5716802,2021-11-21T09:32:25.678591,20200630
Zak,16O-13C-17O,10.5281/zenodo.5716804,2021-11-21T09:32:29.288852,20200630
Zak,16O-13C-18O,10.5281/zenodo.5716806,2021-11-21T09:32:32.379561,20200630
Zak,17O-12C-18O,10.5281/zenodo.5716808,2021-11-21T09:32:35.865135,20200630
Zak,17O-13C-18O,10.5281/zenodo.5716810,2021-11-21T09:32:38.900866,20200630
VTT,1H-2H-16O,10.5281/zenodo.5716812,2021-11-21T09:32:41.839609,20160726
HotWat78,1H2-17O,10.5281/zenodo.5716820,2021-11-21T09:50:08.408476,20161222
HotWat78,1H2-18O,10.5281/zenodo.5716822,2021-11-21T09:51:39.933190,20161222
AYT2,1H2-32S,10.5281/zenodo.5716826,2021-11-21T09:53:14.924088,20160726
Harris,1H-12C-14N,10.5281/zenodo.5716828,2021-11-21T09:54:29.428635,20161205
OYT4,39K-16O-1H,10.5281/zenodo.5716830,2021-11-21T09:55:10.875974,20201201
OYT5,23Na-16O-1H,10.5281/zenodo.5716832,2021-11-21T09:55:13.684442,20201201
ExoAmes,32S-16O2,10.5281/zenodo.5716834,2021-11-21T09:55:33.481964,20170131
CATS,28Si-1H2,10.5281/zenodo.5716836,2021-11-21T09:59:53.410692,20200201
OYT3,28Si-16O2,10.5281/zenodo.5716838,2021-11-21T10:01:13.869585,20200201
CYT18,75As-1H3,10.5281/zenodo.5716840,2021-11-21T10:01:35.101675,20181113
aCeTY,12C2-1H2,10.5281/zenodo.5716842,2021-11-21T10:01:59.807563,20200115
MaYTY,12C2-1H4,10.5281/zenodo.5716846,2021-11-21T10:12:55.760774,20180514
AYYJ,12C-1H3,10.5281/zenodo.5716848,2021-11-21T10:13:17.252213,20190501
OYT,12C-1H3-35Cl,10.5281/zenodo.5716852,2021-11-21T10:17:35.352537,20180601
OYT,12C-1H3-37Cl,10.5281/zenodo.5716856,2021-11-21T10:17:57.912898,20180601
OYKYT,12C-1H3-19F,10.5281/zenodo.5716860,2021-11-21T10:18:16.107980,20180401
AYTY,1H2-12C-16O,10.5281/zenodo.5716868,2021-11-21T10:24:03.605444,20161205
APTY,1H2-16O2,10.5281/zenodo.5716870,2021-11-21T10:24:27.346476,20160726
AIJS,1H-14N-16O3,10.5281/zenodo.5716872,2021-11-21T10:24:52.514267,20160726
CoYuTe,14N-1H3,10.5281/zenodo.5716876,2021-11-21T10:25:15.670632,20200730
BYTe-15,15N-1H3,10.5281/zenodo.5716878,2021-11-21T10:25:38.155577,20160726
MCYTY,31P-19F3,10.5281/zenodo.5716880,2021-11-21T10:27:02.594899,20190314
SAlTY,31P-1H3,10.5281/zenodo.5716882,2021-11-21T10:27:05.543545,20170131
UYT2,32S-16O3,10.5281/zenodo.5716884,2021-11-21T10:27:27.757583,20170107
OY2T,28Si-1H4,10.5281/zenodo.5716886,2021-11-21T10:27:49.844096,20170131
OY-Cis,cis-31P2-1H2,10.5281/zenodo.5716888,2021-11-21T10:28:18.291400,20190401
OY-Trans,trans-31P2-1H2,10.5281/zenodo.5716892,2021-11-21T10:28:39.870977,20190401
OY-Trans,trans-31P2-1H-2H,10.5281/zenodo.5716899,2021-11-21T10:32:36.813051,20190401
ADJSAAM,1H-2H_p,10.5281/zenodo.5716901,2021-11-21T10:32:59.774004,20200725
eXeL,1H3-16O_p,10.5281/zenodo.5716903,2021-11-21T10:33:25.182271,20200707
MiZATeP,1H3_p,10.5281/zenodo.5716908,2021-11-21T10:37:59.650318,20170330
ADJSAAM,3He-1H_p,10.5281/zenodo.5716910,2021-11-21T10:38:36.564899,20200725
ADJSAAM,3He-2H_p,10.5281/zenodo.5716912,2021-11-21T10:38:42.249294,20200725
ADJSAAM,4He-1H_p,10.5281/zenodo.5716914,2021-11-21T10:38:47.464702,20200725
ADJSAAM,4He-2H_p,10.5281/zenodo.5716916,2021-11-21T10:39:09.885447,20200725
CLT,7Li-1H_p,10.5281/zenodo.5716918,2021-11-21T10:39:15.228590,20160726
MoLLIST,16O-1H_p,10.5281/zenodo.5716920,2021-11-21T10:39:34.527683,20180719
MoLLIST,27Al-35Cl,10.5281/zenodo.5716922,2021-11-21T10:39:59.746418,20180713
MoLLIST,27Al-37Cl,10.5281/zenodo.5716924,2021-11-21T10:40:22.957173,20180713
MoLLIST,27Al-19F,10.5281/zenodo.5716926,2021-11-21T10:40:27.196934,20180713
8states,12C-13C,10.5281/zenodo.5716928,2021-11-21T10:40:55.009068,20200824
8states,12C2,10.5281/zenodo.5716930,2021-11-21T10:41:01.374855,20200628
8states,13C2,10.5281/zenodo.5716932,2021-11-21T10:41:29.315674,20201108
Trihybrid,12C-14N,10.5281/zenodo.5716934,2021-11-21T10:41:36.184458,20210526
Trihybrid,12C-15N,10.5281/zenodo.5716936,2021-11-21T10:41:40.976051,20210526
Trihybrid,13C-14N,10.5281/zenodo.5716938,2021-11-21T10:41:45.600710,20210526
Trihybrid,13C-15N,10.5281/zenodo.5716940,2021-11-21T10:41:50.626403,20210526
MoLLIST,12C-31P,10.5281/zenodo.5716942,2021-11-21T10:41:55.725873,20160726
JnK,12C-32S,10.5281/zenodo.5716944,2021-11-21T10:42:33.051909,20160726
JnK,12C-33S,10.5281/zenodo.5716946,2021-11-21T10:43:00.269575,20160726
JnK,12C-34S,10.5281/zenodo.5716948,2021-11-21T10:43:07.888046,20160726
JnK,12C-36S,10.5281/zenodo.5716950,2021-11-21T10:43:14.204541,20160726
JnK,13C-32S,10.5281/zenodo.5716952,2021-11-21T10:43:20.689014,20160726
JnK,13C-33S,10.5281/zenodo.5716954,2021-11-21T10:43:27.128019,20160726
JnK,13C-34S,10.5281/zenodo.5716956,2021-11-21T10:43:34.080381,20160726
JnK,13C-36S,10.5281/zenodo.5716958,2021-11-21T10:43:40.217218,20160726
MoLLIST,40Ca-19F,10.5281/zenodo.5716960,2021-11-21T10:43:46.910387,20180713
MoLLIST,42Ca-19F,10.5281/zenodo.5716963,2021-11-21T10:44:10.577703,20180713
MoLLIST,43Ca-19F,10.5281/zenodo.5716965,2021-11-21T10:44:15.017813,20180713
MoLLIST,44Ca-19F,10.5281/zenodo.5716967,2021-11-21T10:44:19.357607,20180713
MoLLIST,46Ca-19F,10.5281/zenodo.5716969,2021-11-21T10:44:24.454884,20180713
MoLLIST,48Ca-19F,10.5281/zenodo.5716971,2021-11-21T10:44:29.318189,20180713
ADJSAAM,1H2,10.5281/zenodo.5716973,2021-11-21T10:44:34.917921,20190626
RACPPK,1H-2H,10.5281/zenodo.5716975,2021-11-21T10:44:38.616367,20191002
Barton,39K-35Cl,10.5281/zenodo.5716977,2021-11-21T10:44:43.033901,20160726
Barton,39K-37Cl,10.5281/zenodo.5716979,2021-11-21T10:45:06.686335,20160726
Barton,41K-35Cl,10.5281/zenodo.5716981,2021-11-21T10:45:12.701363,20160726
Barton,41K-37Cl,10.5281/zenodo.5716983,2021-11-21T10:45:18.990550,20160726
MoLLIST,39K-19F,10.5281/zenodo.5716985,2021-11-21T10:45:25.292263,20180716
