(1H)2(16O) BT2
(1H)(2H)(16O) Janka
(1H)(2H)(16O) VTT
(1H)2(2H)+ ST
(3He)(1H)+ Engel
(3He)(2H)+ Engel
(4He)(1H)+ Engel
(4He)(2H)+ Engel
(1H)3+ NMT
(1H)(12C)(14N) Harris
(7Li)(1H) CLT
(7Li)(1H)+ CLT
(1H)(2H)+ CLT
(1H)(2H)+ CLT
(1H)(13C)(14N) Larner
(23Na)(35Cl) YT
(23Na)(37Cl) YT
(32S)(16O)3 UYT
(1H)2(12C)(16O) AYTY
(31P)(1H)3 SAlTY
(31P)(1H)3 SYT
(12C)(33S) JnK
(12C)(34S) JnK
(12C)(36S) JnK
(13C)(32S) JnK
(13C)(33S) JnK
(13C)(34S) JnK
(13C)(36S) JnK
(15N)(1H)3 BYTe-15
(27Al)(16O) ATP
(23Na)(1H) Rivlin
(23Na)(2H) Rivlin
(1H)(14N)(16O)3 AIJS
(1H)2(16O)2 AlR
(32S)(16O)2 ExoAmes
(1H)2(32S) AYT2
(1H)2(16O)2 APTY
(32S)(16O)3 UYT2
